index,x,y,z
0,0.000501,0.003950,-0.002562
1,0.000011,-0.000331,-0.002179
2,-0.001140,-0.004093,0.002430
3,-0.001074,-0.005101,0.006459
4,0.002750,-0.004917,-0.001002
5,0.004245,-0.001441,-0.002191
6,0.005013,-0.000167,0.002555
7,0.004052,-0.000157,0.012015
8,0.003878,0.004133,0.005286
9,0.002997,0.010645,0.013509
10,0.000766,0.008176,0.040299
11,-0.001241,0.010844,0.134436
12,0.002910,0.010551,0.182061
13,-0.003442,0.020941,0.148896
14,-0.006747,0.025531,0.043778
15,-0.008375,0.000573,-0.017994
16,-0.006003,-0.018550,-0.020247
17,-0.004453,-0.025065,-0.056760
18,-0.004771,-0.034006,-0.073634
19,-0.003234,-0.045567,-0.083073
20,-0.005157,-0.042375,-0.089846
21,-0.003153,-0.028655,-0.069406
22,-0.003898,-0.007305,-0.046473
23,-0.002186,0.027073,-0.057559
24,0.001013,0.042804,-0.035347
25,0.005181,0.041967,-0.015086
26,0.008064,0.024861,-0.004879
27,0.005835,0.010124,0.008257
28,0.002439,-0.011106,0.009414
29,0.004276,-0.015841,0.024515
30,0.005120,-0.007687,0.008838
31,0.003542,-0.000400,0.020245
32,0.002654,0.000935,0.003102
33,-0.000535,-0.001298,-0.007128
34,-0.002649,-0.001911,0.014652
35,-0.001129,0.007849,0.004601
36,0.000806,0.008992,0.019892
37,0.001491,-0.011139,0.057364
38,0.000792,-0.011722,0.012300
39,0.001677,-0.012240,-0.043290
40,0.004486,-0.022377,-0.012726
41,0.000264,-0.005142,-0.021544
42,-0.002989,0.005707,-0.041725
43,-0.005758,0.001564,-0.005737
44,-0.005615,0.012792,0.009194
45,-0.006943,0.020678,0.008073
46,-0.001115,-0.003276,-0.005377
47,0.001017,-0.005544,-0.012843
48,-0.001941,0.001612,0.004698
49,-0.000687,-0.001471,0.002234
50,0.001769,-0.002056,-0.015744
51,-0.002139,-0.003889,-0.002609
52,-0.005137,-0.004931,-0.000643
53,-0.003563,-0.003441,-0.004978
54,-0.003051,-0.000208,-0.008703
55,-0.002244,0.006552,0.003914
56,0.001236,0.007386,0.007481
57,0.002130,-0.004692,0.005479
58,0.002470,-0.001690,-0.003404
59,0.000357,0.008560,-0.022781
60,-0.002780,0.003611,-0.001098
61,-0.000828,-0.007613,-0.006955
62,-0.001029,0.001773,-0.000285
63,0.000256,-0.014980,0.034273
64,0.003201,-0.001362,0.005779
65,0.000599,0.008231,-0.022452
66,-0.003154,0.006748,0.036180
67,0.005122,-0.002335,0.011696
68,0.006874,-0.000017,-0.047753
69,-0.007236,0.007141,0.026399
70,-0.004908,0.000109,0.017645
71,0.002899,-0.009271,0.030648
72,0.002718,-0.006038,0.052648
73,-0.001089,-0.008507,0.036964
74,-0.001503,-0.006384,0.028368
75,-0.001808,0.004050,0.008982
76,0.000356,0.001760,0.041557
77,-0.002053,0.000472,0.076174
78,-0.031182,0.001499,0.230393
79,-0.053111,-0.047727,0.154503
80,-0.032176,-0.019078,-0.336845
81,0.025112,-0.017174,-1.075699
82,-0.019668,-0.160993,-0.582476
83,0.001596,-0.091995,0.096437
84,0.007566,0.029505,0.313322
85,0.013194,0.142624,0.162018
86,-0.011866,0.120154,0.071177
87,-0.012472,0.066972,0.073319
88,-0.010392,0.000182,0.130722
89,-0.003520,-0.048916,0.124872
90,0.010103,-0.057574,0.084606
91,0.019436,-0.020124,0.064537
92,0.017503,0.010361,0.048810
93,0.013204,0.030752,0.028214
94,0.011911,0.020264,0.010807
95,0.008337,-0.004233,0.002158
96,0.007682,-0.009716,0.003335
97,0.005833,0.003187,0.010431
98,0.007596,0.003482,-0.002020
99,0.008112,-0.004949,-0.008337
100,0.004042,-0.008871,-0.001028
101,-0.001188,-0.004818,0.004191
102,-0.003012,0.000311,0.001796
103,-0.002461,0.001935,0.002360
104,-0.002082,0.000132,0.000910
105,-0.002224,-0.000812,-0.001485
106,-0.003021,0.000624,-0.001469
107,-0.004586,-0.000278,0.000729
108,-0.006252,-0.000678,0.001034
109,-0.006514,-0.003591,0.003308
110,-0.005782,-0.004614,0.000013
111,-0.005823,-0.002092,-0.000978
112,-0.004025,0.002655,0.000181
113,-0.003352,0.004284,-0.000887
114,-0.000760,-0.001507,0.000258
115,0.001452,-0.005728,0.002670
116,0.001737,-0.004221,0.002274
117,0.001661,-0.001491,0.001038
118,0.001693,-0.000114,0.000199
119,-0.000193,-0.000964,0.000717
120,-0.001038,-0.001074,-0.001451
121,-0.002851,-0.002924,-0.000473
122,-0.002319,-0.003033,0.001877
123,-0.001463,-0.002569,0.000199
124,-0.001124,-0.001003,-0.001953
125,0.000559,0.000436,0.000641
126,0.001387,0.000829,0.002075
127,0.000429,0.000343,0.000305
128,-0.000177,-0.001658,0.001478
129,-0.000576,-0.003232,0.000350
130,-0.001390,-0.003834,0.001144
131,-0.000451,-0.001928,0.001769
132,-0.000181,-0.002857,-0.000825
133,-0.000861,-0.000185,-0.000459
134,-0.000150,-0.000908,0.001556
135,-0.000380,0.000147,0.001022
136,-0.000774,-0.001592,0.001296
137,-0.001480,-0.002101,0.001601
138,-0.000433,-0.002253,-0.000809
139,-0.000715,-0.001545,-0.000214
140,-0.001383,-0.002308,0.002465
141,0.004329,-0.002413,-0.014459
142,-0.001157,-0.000679,0.001834
143,0.000241,0.000545,-0.000227
144,-0.000114,-0.000618,0.000993
145,-0.000673,-0.001168,0.000459
146,-0.000238,-0.002320,0.000794
147,-0.000900,-0.000949,0.000290
148,-0.000309,-0.000914,0.000198
149,-0.000394,-0.001862,-0.000415
150,-0.001048,-0.001155,0.001020
151,-0.000733,-0.000010,-0.000489
152,-0.000366,-0.001802,0.000029
153,-0.000022,-0.002342,0.001083
154,-0.000001,-0.001233,0.000092
155,-0.001065,-0.000826,0.001208
156,-0.000897,-0.001774,0.000522
157,-0.000431,-0.000048,-0.001904
158,-0.001128,-0.000071,0.000110
159,-0.000172,-0.001435,0.001361
160,-0.001317,-0.002003,0.002413
161,-0.000229,-0.003643,0.001546
162,0.001723,-0.001893,-0.006626
163,-0.001521,-0.000268,0.005325
