index,x,y,z
0,0.013349,0.004504,-0.023452
1,0.005596,-0.003915,-0.001845
2,0.003350,-0.004835,0.010788
3,0.005376,-0.001635,0.000232
4,0.004284,0.000556,-0.002562
5,0.005453,0.000876,0.011692
6,0.001943,0.007251,0.035487
7,-0.002264,0.019073,0.072006
8,-0.006875,0.014658,0.179010
9,-0.008740,0.018608,0.181886
10,-0.006611,0.023560,0.087215
11,-0.009186,0.023162,0.045995
12,-0.008667,-0.000467,-0.003635
13,-0.002063,-0.029682,-0.068199
14,0.009157,-0.039878,-0.103803
15,0.009791,-0.025291,-0.108326
16,0.009416,-0.025272,-0.100623
17,0.009952,-0.007432,-0.088077
18,0.010721,0.016276,-0.079081
19,0.004812,0.023045,-0.061530
20,-0.000754,0.010694,-0.031609
21,-0.001592,0.000219,-0.003701
22,-0.004322,-0.016698,0.020512
23,-0.006992,-0.005564,0.018635
24,-0.003079,-0.005666,0.006977
25,0.002905,-0.002298,-0.000256
26,0.003152,0.003938,-0.002712
27,0.005293,0.008068,0.007969
28,-0.008225,0.004881,0.048425
29,0.012308,0.000594,-0.010973
30,0.008407,-0.001865,0.028586
31,0.003706,-0.015364,0.022416
32,0.010215,-0.004105,-0.016515
33,0.008367,0.011545,-0.018248
34,0.002459,0.014584,-0.014110
35,0.000628,-0.002321,-0.004112
36,-0.001362,-0.006309,-0.011354
37,-0.005198,-0.002800,-0.013517
38,-0.006646,0.000238,0.000919
39,-0.005570,-0.000564,-0.002008
40,-0.001045,-0.009135,-0.005865
41,0.002067,-0.003796,-0.001818
42,0.000617,0.005664,0.011124
43,0.003123,0.005140,0.001361
44,0.004456,0.000504,-0.012736
45,0.000835,0.000640,-0.000024
46,-0.000858,0.002359,0.010612
47,0.001325,-0.002217,-0.018377
48,-0.000177,-0.005016,-0.007529
49,-0.002000,-0.003958,0.015771
50,-0.001572,-0.001868,0.001780
51,0.000301,0.003524,-0.004871
52,-0.000440,0.005418,-0.000246
53,0.000233,0.002029,-0.007174
54,-0.000484,0.000666,0.024520
55,-0.000844,-0.001447,0.008837
56,0.002988,-0.001707,-0.022015
57,0.001266,-0.000646,-0.003690
58,0.000447,0.000430,0.006290
59,0.006658,-0.001989,0.011481
60,0.009117,-0.013344,0.062333
61,-0.004378,-0.007388,0.218659
62,-0.010374,-0.002808,0.284956
63,-0.000559,-0.003141,0.024518
64,0.026414,-0.019055,-0.334583
65,0.038977,0.005725,-0.472237
66,0.009103,-0.013168,-0.390331
67,-0.006820,-0.020415,-0.085407
68,0.009029,0.032887,-0.244918
69,0.008526,0.027854,-0.067774
70,-0.020415,-0.009154,0.146525
71,-0.026555,-0.005484,0.169334
72,-0.024443,-0.033830,0.127290
73,-0.013202,-0.004463,0.092718
74,-0.015728,0.014665,0.099493
75,-0.012329,0.035940,0.086656
76,-0.010420,0.040256,0.066018
77,-0.005516,0.022645,0.050547
78,0.001068,-0.004132,0.042055
79,0.001472,-0.018753,0.041504
80,0.008633,-0.018185,0.031913
81,0.012730,-0.006074,0.016940
82,0.014694,0.008882,0.003648
83,0.013798,0.014559,-0.002044
84,0.009612,0.007610,0.001693
85,0.006786,-0.000983,0.002119
86,0.003107,-0.001770,0.001401
87,0.002206,-0.006810,0.003261
88,0.000966,-0.008658,0.000728
89,-0.000941,-0.003628,-0.002109
90,-0.001404,0.003050,0.000988
91,-0.001766,0.005826,0.002071
92,-0.003011,0.004126,-0.000189
93,-0.003565,0.000449,-0.000921
94,-0.003571,-0.004138,0.000575
95,-0.001447,-0.003767,-0.001715
96,0.000974,-0.002799,0.000009
97,0.000621,-0.000573,0.002707
98,0.002333,-0.001044,0.001027
99,0.004017,0.001559,0.000324
100,0.003998,0.002329,0.001497
101,0.003270,0.000849,0.002794
102,0.001640,-0.001839,0.001404
103,0.000902,-0.002054,0.000856
104,0.000133,-0.000937,0.001177
105,0.001054,0.001175,0.001238
106,0.001268,0.001012,0.000399
107,0.000880,0.000819,-0.000730
108,0.000049,-0.001673,0.000429
109,0.000019,-0.001676,0.000306
110,0.000283,-0.000827,0.001099
111,0.001644,-0.001105,0.000519
112,0.001464,0.000311,0.001450
113,0.001787,0.001024,0.000031
114,0.001845,0.000862,0.001067
115,0.002495,0.000166,0.001188
116,0.001288,0.000051,0.003059
117,0.001383,-0.001125,0.002873
118,0.001147,-0.000332,-0.001100
119,0.000056,-0.000108,0.003788
120,0.001233,0.000180,0.001817
121,0.001867,0.000177,-0.000423
122,0.001636,-0.000417,0.000557
123,0.001310,0.000374,0.000908
124,0.000829,-0.000174,0.000099
125,-0.000438,-0.000167,-0.000711
126,-0.000729,-0.000484,0.001208
127,0.000410,-0.000284,-0.000302
128,0.000731,-0.000103,0.001497
129,0.002715,-0.000762,0.000839
130,0.003718,-0.001023,0.002760
131,0.002609,-0.000041,0.001222
132,0.001700,-0.000105,0.001665
133,0.001539,-0.000134,0.000465
134,0.000731,-0.000692,0.002392
135,0.000613,-0.000182,0.002312
136,0.001396,0.000529,-0.000605
137,0.001567,-0.000342,-0.001714
138,0.000868,-0.000787,0.002752
139,0.001634,-0.000950,-0.002841
140,-0.000852,-0.000965,-0.000658
