index,x,y,z
0,0.001666,0.002219,-0.008689
1,-0.000416,-0.005754,-0.000115
2,-0.000186,-0.002277,0.001957
3,-0.000880,-0.000304,0.011069
4,0.000514,-0.001247,0.006508
5,0.001127,0.001989,-0.002950
6,-0.000118,0.003585,0.003123
7,0.001785,-0.000028,0.002089
8,-0.000200,-0.001946,0.012315
9,0.000090,0.000561,-0.000116
10,0.000164,-0.001235,-0.005803
11,-0.002628,0.005071,0.023135
12,0.001372,-0.000060,0.062762
13,0.000874,-0.001246,0.130592
14,-0.005772,0.024959,0.137106
15,-0.008719,0.029231,0.154084
16,-0.009219,0.025726,0.076318
17,-0.009163,0.014566,0.000353
18,-0.009037,-0.006022,-0.019551
19,-0.003138,-0.027308,-0.062873
20,-0.001045,-0.028279,-0.089378
21,0.004598,-0.024297,-0.094614
22,0.008223,-0.014053,-0.067270
23,0.009205,-0.002102,-0.068055
24,0.012649,0.001895,-0.074449
25,0.015291,-0.000627,-0.068597
26,0.010431,-0.001091,-0.028587
27,-0.000420,-0.006819,-0.025413
28,-0.003701,0.003174,-0.009316
29,-0.004219,0.008739,0.020040
30,-0.003119,0.004827,0.021307
31,0.000993,-0.012026,-0.019922
32,-0.005685,-0.006949,-0.001169
33,-0.007396,0.005506,0.003211
34,0.002565,0.003436,0.004904
35,0.005425,0.000694,0.002905
36,0.003303,0.002324,0.008369
37,0.000099,-0.003959,0.036390
38,0.006162,-0.006389,-0.016295
39,0.001368,0.000986,0.017889
40,0.002810,-0.018462,0.033996
41,0.007834,-0.005230,-0.016029
42,-0.002314,0.018673,-0.032442
43,-0.009934,0.004796,-0.020934
44,-0.007664,-0.014617,-0.012098
45,-0.004723,-0.001666,-0.004359
46,-0.002850,0.007026,0.028769
47,0.002874,-0.002972,0.003823
48,0.004066,-0.004698,-0.010686
49,0.001488,-0.004214,0.023650
50,0.006518,0.002682,0.017051
51,0.011477,0.003125,0.000581
52,0.006968,-0.000223,-0.000207
53,-0.000629,0.008791,0.006162
54,0.000655,-0.002218,-0.027831
55,-0.003963,-0.007360,-0.028105
56,-0.011770,0.005415,0.024217
57,-0.002590,0.005039,0.009526
58,0.004177,-0.015192,-0.012765
59,-0.002306,-0.009730,0.006371
60,-0.001467,0.005466,0.002972
61,0.004074,0.005529,-0.001528
62,0.007405,-0.003316,-0.013445
63,0.003328,-0.005696,0.001052
64,-0.001041,0.007915,0.006791
65,-0.003616,0.006330,-0.000212
66,-0.000520,-0.006056,0.007084
67,0.002269,-0.000851,0.005652
68,0.002562,0.003891,0.016030
69,0.005046,0.001152,-0.011298
70,0.000535,0.001927,-0.008429
71,-0.004903,0.004800,0.038126
72,0.002767,-0.000103,0.010495
73,0.002898,-0.008393,0.009127
74,0.001274,-0.007962,0.007210
75,0.001497,0.000249,-0.009218
76,0.001534,0.000925,0.012348
77,0.001284,0.001108,0.000681
78,-0.000277,-0.003888,-0.004776
79,-0.013495,-0.008233,0.071589
80,-0.033308,-0.008245,0.134977
81,-0.032564,-0.009457,-0.034328
82,0.009787,0.003506,-0.445414
83,0.035614,0.002176,-0.406137
84,-0.012796,-0.045338,-0.197964
85,-0.002510,-0.043779,-0.090391
86,0.000936,-0.009006,0.064986
87,0.001380,0.017450,0.111515
88,-0.003703,0.010213,0.125945
89,-0.017405,-0.004117,0.131601
90,-0.012404,0.004208,0.099704
91,-0.006444,0.008720,0.075339
92,0.000743,0.011264,0.069830
93,0.005669,0.013780,0.064300
94,0.006663,0.003257,0.049947
95,0.006326,-0.013459,0.036824
96,0.012028,-0.018824,0.027188
97,0.013709,-0.006913,0.023859
98,0.014086,0.010685,0.012737
99,0.009200,0.015778,0.001891
100,0.004580,0.009088,-0.005587
101,0.002176,-0.002758,-0.001805
102,-0.000522,-0.011633,0.005152
103,-0.000319,-0.011893,0.002589
104,0.000305,-0.005721,-0.001837
105,0.000728,0.002103,-0.000129
106,-0.000177,0.007828,0.002222
107,0.000354,0.006866,-0.000877
108,-0.000415,0.002054,0.000877
109,-0.000589,-0.003599,-0.000681
110,-0.000609,-0.006860,0.001928
111,-0.000349,-0.004262,-0.001399
112,-0.001875,-0.000754,-0.003794
113,-0.004533,0.000150,-0.003322
114,-0.007924,0.000792,0.002475
115,-0.006777,0.001138,0.006136
116,-0.002851,0.001562,-0.002713
117,0.001489,0.000285,-0.003568
118,0.002225,-0.001190,0.002199
119,0.002988,-0.003111,0.000596
120,0.003336,-0.004935,0.000870
121,-0.004450,-0.003210,-0.002442
122,-0.005700,0.000230,0.003628
123,0.002181,0.001113,0.002971
124,0.002366,0.002426,0.001185
125,0.004337,0.002566,0.003169
126,-0.000352,0.001035,-0.007254
127,0.002975,-0.002246,0.004479
128,0.004057,-0.005370,0.000971
129,0.001448,-0.003937,0.002376
130,-0.001336,0.000244,0.001400
131,-0.002810,0.001215,-0.004077
132,-0.000479,-0.000904,0.001095
133,-0.000256,-0.002361,-0.000168
134,0.003423,-0.004163,-0.001895
135,0.005496,-0.003436,-0.000042
136,0.002104,0.004345,0.007306
137,-0.001968,0.004461,-0.001938
138,-0.000811,0.002164,-0.000117
139,0.001047,-0.001331,-0.000489
140,0.002407,-0.003334,0.003451
141,-0.000159,-0.004567,-0.008752
142,-0.002751,-0.002950,-0.001382
143,-0.003297,0.001224,0.005346
144,0.004034,0.001872,-0.005292
145,0.004616,0.004999,0.006277
146,0.000750,0.006289,0.000989
147,-0.000499,-0.002288,-0.004287
148,-0.003249,-0.010841,0.003275
149,0.001145,-0.008626,-0.002546
150,0.003078,-0.001931,-0.001834
151,-0.000440,0.001967,0.008956
